date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls,paid_rate,cpa_contract,roas_contract,deals_ma7,paid_deals_ma7,spend_ma7
2023-10-27,57.0,5.0,7000.0,48000.0,299.31,269.0,0.08771929824561403,59.862,160.3688483512078,52.142857142857146,2.5714285714285716,328.98999999999995
2023-10-28,43.0,2.0,2000.0,23000.0,369.32,229.0,0.046511627906976744,184.66,62.27661648434962,49.142857142857146,2.7142857142857144,341.64428571428573
2023-10-29,43.0,1.0,0.0,0.0,346.09,251.0,0.023255813953488372,346.09,0.0,49.857142857142854,2.7142857142857144,339.5885714285714
2023-10-30,48.0,2.0,2000.0,22000.0,362.19,296.0,0.041666666666666664,181.095,60.74159971285789,48.857142857142854,2.857142857142857,344.00999999999993
2023-10-31,28.0,1.0,1000.0,11500.0,444.23,355.0,0.03571428571428571,444.23,25.887490714269635,46.57142857142857,3.0,359.23428571428576
2023-11-01,67.0,3.0,1650.0,18500.0,465.03,261.0,0.04477611940298507,155.01,39.782379631421634,49.857142857142854,2.857142857142857,376.9814285714286
2023-11-02,64.0,3.0,2350.0,25500.0,306.13,221.0,0.046875,102.04333333333334,83.29794531734883,50.0,2.4285714285714284,370.3285714285715
2023-11-03,68.0,4.0,4000.0,44500.0,329.24,271.0,0.058823529411764705,82.31,135.15976187583524,51.57142857142857,2.2857142857142856,374.6042857142857
2023-11-04,42.0,5.0,5500.0,44000.0,300.65,319.0,0.11904761904761904,60.129999999999995,146.34957591884253,51.42857142857143,2.7142857142857144,364.7942857142857
2023-11-05,41.0,2.0,1350.0,14000.0,342.21000000000004,144.0,0.04878048780487805,171.10500000000002,40.91055200023377,51.142857142857146,2.857142857142857,364.23999999999995
2023-11-06,51.0,4.0,4000.0,44000.0,504.69,146.0,0.0784313725490196,126.1725,87.18223067625671,51.57142857142857,3.142857142857143,384.59714285714284
2023-11-07,49.0,2.0,2000.0,22500.0,337.0,264.0,0.04081632653061224,168.5,66.76557863501483,54.57142857142857,3.2857142857142856,369.2785714285714
2023-11-08,35.0,3.0,2200.0,19000.0,357.77,183.0,0.08571428571428572,119.25666666666666,53.10674455655869,50.0,3.2857142857142856,353.9557142857143
2023-11-09,48.0,4.0,3350.0,37000.0,406.12,217.0,0.08333333333333333,101.53,91.10607702156997,47.714285714285715,3.4285714285714284,368.23999999999995
2023-11-10,48.0,5.0,3050.0,33000.0,447.18,231.0,0.10416666666666667,89.436,73.79578693143701,44.857142857142854,3.5714285714285716,385.0885714285714
2023-11-11,30.0,0.0,0.0,0.0,290.27,147.0,0.0,,0.0,43.142857142857146,2.857142857142857,383.60571428571427
2023-11-12,29.0,1.0,350.0,3500.0,371.05,110.0,0.034482758620689655,371.05,9.432691011992993,41.42857142857143,2.7142857142857144,387.7257142857143
2023-11-13,52.0,3.0,3500.0,22000.0,530.3299999999999,341.0,0.057692307692307696,176.77666666666664,41.48360454811156,41.57142857142857,2.5714285714285716,391.3885714285714
2023-11-14,79.0,5.0,5000.0,49000.0,706.17,255.0,0.06329113924050633,141.23399999999998,69.38839089737598,45.857142857142854,3.0,444.1271428571428
2023-11-15,65.0,3.0,3000.0,34000.0,410.4,264.0,0.046153846153846156,136.79999999999998,82.84600389863549,50.142857142857146,3.0,451.64571428571423
2023-11-16,56.0,0.0,0.0,0.0,386.46,298.0,0.0,,0.0,51.285714285714285,2.4285714285714284,448.8371428571428
2023-11-17,117.0,1.0,0.0,0.0,290.52,235.0,0.008547008547008548,290.52,0.0,61.142857142857146,1.8571428571428572,426.45714285714274
2023-11-18,135.0,1.0,300.0,4000.0,1240.1200000000001,160.0,0.007407407407407408,1240.1200000000001,3.2254943070025477,76.14285714285714,2.0,562.15
2023-11-19,136.0,6.0,5350.0,58500.0,301.75,146.0,0.04411764705882353,50.291666666666664,193.86909693454848,91.42857142857143,2.7142857142857144,552.25
2023-11-20,132.0,7.0,6350.0,61000.0,313.37,252.0,0.05303030303030303,44.76714285714286,194.65807192775313,102.85714285714286,3.2857142857142856,521.2557142857142
2023-11-21,157.0,6.0,20000.0,37200.0,407.08,411.0,0.03821656050955414,67.84666666666666,91.38252923258328,114.0,3.4285714285714284,478.5285714285714
2023-11-22,112.0,5.0,2950.0,27500.0,233.5,281.0,0.044642857142857144,46.7,117.77301927194861,120.71428571428571,3.7142857142857144,453.25714285714287
2023-11-23,81.0,8.0,7750.0,55500.0,254.17,275.0,0.09876543209876543,31.77125,218.35779202895702,124.28571428571429,4.857142857142857,434.35857142857145
2023-11-24,28.0,3.0,3000.0,33000.0,147.03,319.0,0.10714285714285714,49.01,224.44399102224037,111.57142857142857,5.142857142857143,413.86000000000007
